sample	point	subj	batch
S1	1	subj1	y.2021
S2	1	subj2	y.2021
S3	1	subj3	y.2021
S4	1	subj4	y.2021
S6	1	subj5	y.2021
S7	1	subj6	y.2021
S8	1	subj7	y.2021
S9	1	subj8	y.2021
S10	1	subj9	y.2021
S11	1	subj10	y.2021
S12	1	subj11	y.2021
S60	1	subj12	y.2021
S15	1	subj13	y.2021
S16	1	subj14	y.2021
S17	1	subj15	y.2021
S18	1	subj16	y.2021
S59	1	subj17	y.2021
S20	1	subj18	y.2021
S21	1	subj19	y.2021
S22	1	subj20	y.2021
S23	1	subj21	y.2021
S24	1	subj22	y.2021
S25	1	subj23	y.2021
S58	1	subj24	y.2021
S28	1	subj25	y.2021
S29	1	subj26	y.2021
S34	1	subj27	y.2021
S45	1	subj28	y.2021
S54	1	subj29	y.2021
S56	1	subj30	y.2021
S65	1	subj31	y.2022
S67	1	subj32	y.2022
S69	1	subj33	y.2022
S71	1	subj34	y.2022
S76	1	subj35	y.2022
S77	1	subj36	y.2022
S79	1	subj37	y.2022
S82	1	subj38	y.2022
S83	1	subj39	y.2022
S84	1	subj40	y.2022
S86	1	subj41	y.2022
S14	2	subj1	y.2021
S26	2	subj2	y.2021
S5	2	subj4	y.2021
S43	2	subj7	y.2021
S53	2	subj8	y.2021
S41	2	subj9	y.2021
S36	2	subj10	y.2021
S35	2	subj11	y.2021
S13	2	subj12	y.2021
S40	2	subj13	y.2021
S46	2	subj14	y.2021
S32	2	subj15	y.2021
S19	2	subj17	y.2021
S39	2	subj18	y.2021
S37	2	subj19	y.2021
S38	2	subj20	y.2021
S52	2	subj22	y.2021
S42	2	subj23	y.2021
S27	2	subj24	y.2021
S64	2	subj27	y.2022
S78	2	subj29	y.2022
S75	2	subj30	y.2022
S89	2	subj31	y.2022
S90	2	subj32	y.2022
S88	2	subj33	y.2022
S30	3	subj1	y.2021
S48	3	subj2	y.2021
S51	3	subj3	y.2021
S49	3	subj4	y.2021
S50	3	subj5	y.2021
S57	3	subj6	y.2021
S70	3	subj8	y.2022
S62	3	subj9	y.2022
S55	3	subj10	y.2021
S58.new	3	subj11	y.2022
S31	3	subj12	y.2021
S59.new	3	subj13	y.2022
S44	3	subj15	y.2021
S72	3	subj16	y.2022
S33	3	subj17	y.2021
S60.new	3	subj18	y.2022
S61	3	subj20	y.2022
S63	3	subj21	y.2022
S80	3	subj22	y.2022
S47	3	subj24	y.2021
S81	3	subj25	y.2022
S85	3	subj27	y.2022
S87	3	subj30	y.2022
