sample	point	subj	batch
S1	1	1	y.2021
S2	1	2	y.2021
S4	1	4	y.2021
S11	1	10	y.2021
S17	1	15	y.2021
S59	1	17	y.2021
S65	1	31	y.2022
S69	1	33	y.2023
S71	1	34	y.2023
S76	1	35	y.2022
S77	1	36	y.2023
S14	2	1	y.2021
S26	2	2	y.2021
S5	2	4	y.2021
S36	2	10	y.2021
S32	2	15	y.2021
S19	2	17	y.2021
S89	2	31	y.2022
S88	2	33	y.2023
S92	2	34	y.2023
S91	2	36	y.2023
S30	3	1	y.2021
S48	3	2	y.2021
S49	3	4	y.2021
S55	3	10	y.2021
S44	3	15	y.2021
S33	3	17	y.2021
S98	3	31	y.2023
S100	3	33	y.2023
S103	3	34	y.2023
S101	3	36	y.2023
