id	name
HMDB0000008	2-Hydroxybutyric acid
HMDB0000011	3-Hydroxybutyric acid
HMDB0000012	Deoxyuridine
HMDB0000020	p-Hydroxyphenylacetic acid
HMDB0000039	Butyric acid
HMDB0000055	Cellobiose
HMDB0000056	beta-Alanine
HMDB0000068	Epinephrine
HMDB0000070	Pipecolic acid
HMDB0000071	Deoxyinosine
HMDB0000073	Dopamine
HMDB0000076	Dihydrouracil
HMDB0000085	Deoxyguanosine
HMDB0000098	D-Xylose
HMDB0000112	gamma-Aminobutyric acid
HMDB0000115	Glycolic acid
HMDB0000122	D-Glucose
HMDB0000123	Glycine
HMDB0000127	D-Glucuronic acid
HMDB0000131	Glycerol
HMDB0000133	Guanosine
HMDB0000134	Fumaric acid
HMDB0000139	Glyceric acid
HMDB0000142	Formic acid
HMDB0000143	D-Galactose
HMDB0000148	Glutamic acid
HMDB0000149	Ethanolamine
HMDB0000156	Malic acid
HMDB0000157	Hypoxanthine
HMDB0000158	L-Tyrosine
HMDB0000159	Phenylalanine
HMDB0000161	L-Alanine
HMDB0000162	Proline
HMDB0000163	D-Maltose
HMDB0000167	L-Threonine
HMDB0000168	L-Asparagine
HMDB0000169	D-Mannose
HMDB0000172	Isoleucine
HMDB0000174	L-Fucose
HMDB0000177	Histidine
HMDB0000182	Lysine
HMDB0000186	Alpha-Lactose
HMDB0000191	L-Aspartic acid
HMDB0000195	Inosine
HMDB0000197	Indoleacetic acid
HMDB0000202	Methylmalonic acid
HMDB0000207	Oleic acid
HMDB0000209	Phenylacetic acid
HMDB0000210	Pantothenic acid
HMDB0000211	myo-Inositol
HMDB0000213	myo-Inositol 1-phosphate
HMDB0000214	Ornithine
HMDB0000215	N-Acetyl-D-glucosamine
HMDB0000220	Palmitic acid
HMDB0000226	Orotic acid
HMDB0000251	Taurine
HMDB0000252	Sphingosine
HMDB0000254	Succinic acid
HMDB0000256	Squalene
HMDB0000262	Thymine
HMDB0000267	Pyroglutamic acid
HMDB0000273	Thymidine
HMDB0000283	D-Ribose
HMDB0000292	Xanthine
HMDB0000294	Urea
HMDB0000296	Uridine
HMDB0000300	Uracil
HMDB0000301	Urocanic acid
HMDB0000303	Tryptamine
HMDB0000306	Tyramine
HMDB0000323	3-Amino-2-piperidone
HMDB0000349	Erythrono-1,4-lactone
HMDB0000355	3-Hydroxymethylglutaric acid
HMDB0000366	2-Deoxyribonic acid
HMDB0000375	3-(3-Hydroxyphenyl)propanoic acid
HMDB0000407	2-Hydroxy-3-methylbutyric acid
HMDB0000423	3,4-Dihydroxyhydrocinnamic acid
HMDB0000440	3-Hydroxyphenylacetic acid
HMDB0000446	N-alpha-Acetyl-L-lysine
HMDB0000448	Adipic acid
HMDB0000472	5-Hydroxy-L-tryptophan
HMDB0000479	Methylhistidine
HMDB0000482	Caprylic acid
HMDB0000508	Ribitol
HMDB0000511	Capric acid
HMDB0000525	5-Hydroxyhexanoic acid
HMDB0000532	Acetylglycine
HMDB0000535	Caproic acid
HMDB0000555	3-Methyladipic acid
HMDB0000562	Creatinine
HMDB0000573	Elaidic acid
HMDB0000574	L-Cysteine
HMDB0000625	Gluconic acid
HMDB0000626	Deoxycholic acid
HMDB0000635	Succinylacetone
HMDB0000638	Dodecanoic acid
HMDB0000640	Levoglucosan
HMDB0000641	Glutamine
HMDB0000646	L-Arabinose
HMDB0000660	D-Fructose
HMDB0000661	Glutaric acid
HMDB0000666	Heptanoic acid
HMDB0000671	Indolelactic acid
HMDB0000673	Linoleic acid
HMDB0000904	Citrulline
HMDB0000687	Leucine
HMDB0000691	Malonic acid
HMDB0000695	Ketoleucine
HMDB0000696	Methionine
HMDB0000710	4-Hydroxybutyric acid
HMDB0000719	L-Homoserine
HMDB0000720	Levulinic acid
HMDB0000755	Hydroxyphenyllactic acid
HMDB0000761	Lithocholic acid
HMDB0000764	Hydrocinnamic acid
HMDB0000765	Mannitol
HMDB0000767	Pseudouridine
HMDB0000772	Nonadecanoic acid
HMDB0000779	Phenyllactic acid
HMDB0000784	Azelaic acid
HMDB0000803	beta-N-Acetylglucosamine
HMDB0000806	Myristic acid
HMDB0000828	Ureidosuccinic acid
HMDB0000847	Pelargonic acid
HMDB0000849	Rhamnose
HMDB0000857	Pimelic acid
HMDB0000867	Ribonic acid
HMDB0000870	Histamine
HMDB0000873	4-Methylcatechol
HMDB0000883	L-Valine
HMDB0000892	Valeric acid
HMDB0000910	Tridecanoic acid
HMDB0000929	L-Tryptophan
HMDB0000947	Undecanoic acid
HMDB0000954	Ferulic acid
HMDB0000957	Pyrocatechol
HMDB0001043	Arachidonic acid
HMDB0001138	N-Acetyl-L-glutamic acid
HMDB0001147	Aminomalonic acid
HMDB0001209	Allantoic acid
HMDB0000190	Lactic acid
HMDB0001336	3,4-Dihydroxybenzeneacetic acid
HMDB0001388	alpha-Linolenic acid
HMDB0001414	Putrescine
HMDB0001429	Phosphate
HMDB0001488	Nicotinic acid
HMDB0001536	Formamide
HMDB0001586	Glucose 1-phosphate
HMDB0001645	L-Norleucine
HMDB0001844	Methylsuccinic acid
HMDB0001851	L-Arabitol
HMDB0001856	Protocatechuic acid
HMDB0001866	3,4-Dihydroxymandelic acid
HMDB0001870	Benzoic acid
HMDB0001901	Aminocaproic acid
HMDB0001906	2-Aminoisobutyric acid
HMDB0001924	Atenolol
HMDB0001932	Metoprolol
HMDB0001942	Phenylpropanolamine
HMDB0001988	4-Hydroxycyclohexylcarboxylic acid
HMDB0001999	Eicosapentaenoic acid
HMDB0002003	Tetracosanoic acid
HMDB0002005	Methionine sulfoxide
HMDB0002019	Phytol
HMDB0002039	2-Pyrrolidinone
HMDB0002113	3-Hydroxy-L-proline
HMDB0002141	N-Methyl-a-aminoisobutyric acid
HMDB0002199	Desaminotyrosine
HMDB0002231	11Z-Eicosenoic acid
HMDB0002259	Heptadecanoic acid
HMDB0002302	Indole-3-propionic acid
HMDB0002322	Cadaverine
HMDB0002329	Oxalic acid
HMDB0002368	Nervonic acid
HMDB0002545	Galacturonic acid
HMDB0002649	Erythrose
HMDB0002925	Dihomo-gamma-linolenic acid
HMDB0002994	Erythritol
HMDB0003156	2,3-Butanediol
HMDB0003224	Deoxyribose
HMDB0003338	Hydroxylamine
HMDB0003355	5-Aminopentanoic acid
HMDB0000187	Serine
HMDB0003424	1-Hexadecanol
HMDB0003459	D-Alanyl-D-alanine
HMDB0003466	L-Gulonolactone
HMDB0003646	N-Methylhydantoin
HMDB0003911	3-Aminoisobutanoic acid
HMDB0004095	5-Methoxytryptamine
HMDB0004284	Tyrosol
HMDB0004437	Diethanolamine
HMDB0004825	p-Octopamine
HMDB0004826	p-Synephrine
HMDB0005060	Eicosadienoic acid
HMDB0006899	Alanylglycine
HMDB0010314	Beta-D-Glucopyranuronic acid
HMDB0010378	5,8,11-Eicosatrienoic acid
HMDB0011131	MG(18:0/0:0/0:0)
HMDB0011182	5beta-Cholestanone
HMDB0011564	MG(16:0/0:0/0:0)
