pathway	S1	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S2	S20	S21	S22	S23	S24	S25	S26	S27	S28	S29	S3	S30	S31	S32	S33	S34	S35	S36	S37	S38	S39	S4	S40	S41	S42	S43	S44	S45	S46	S47	S48	S49	S5	S50	S51	S52	S53	S54	S55	S57	S58	S58.new	S59	S59.new	S6	S60	S60.new	S61	S62	S63	S64	S65	S67	S69	S7	S70	S71	S72	S75	S76	S77	S78	S79	S8	S80	S81	S82	S83	S84	S85	S86	S87	S88	S89	S9	S90	S56
ko00010	1133.0345	1329.668	1330.9085	1340.221	719.811	1575.696	731.7662	1420.2852	1460.817	1273.369	1234.369	1112.2902	1490.517	1333.9265	1611.488	1357.733	881.1902	1512.0398	1385.8825	1348.4515	1996.7782	1725.0255	1619.5855	1480.8183	1227.323	1547.7627	810.5395	1551.8108	1161.2247	1048.9445	1094.7198	1214.1212	1693.5797	1530.5952	1365.9382	1285.48	1377.006	1110.0795	1391.8935	1303.7548	1363.9788	1081.988	1191.958	1344.195	1317.637	1072.754	1375.2745	738.7828	1076.6405	1237.5815	1473.3848	1178.4273	1398.3995	1125.0303	1228.292	878.6278	1456.9448	1080.4242	635.4222	658.694	1347.0643	1396.178	1355.2803	869.22	1319.8888	750.8825	1859.9958	783.4118	1372.7517	702.6198	807.5598	1271.4247	810.313	1190.026	1300.5927	1036.2048	1144.2067	818.0443	970.0112	1162.243	1020.3822	1376.3493	935.4562	1357.4605	1628.3382	786.0803	1736.9688	1205.4695	1347.5785
ko00020	619.9541	650.247	1183.7711	1101.8563	694.5078	902.2178	706.9178	771.9607	758.483	669.2311	644.9219	662.5819	777.9678	690.1237	949.6848	627.5467	665.3489	765.0963	805.8256	665.2637	893.9744	994.1719	1075.2811	815.7944	551.7748	730.5011	410.7374	998.9011	748.3515	730.2959	602.5337	593.4933	797.7511	878.2385	694.8685	802.6407	703.2693	569.6619	788.783	863.8796	636.1481	634.7567	650.9711	763.127	665.1489	583.57	752.233	747.9367	693.0296	1029.0589	1279.3637	968.2015	1200.4281	1434.343	1238.6985	844.6348	757.0926	973.6359	740.2322	480.1348	1519.8578	1367.7507	1246.3648	905.8889	1350.0426	891.5411	1247.397	896.0915	1144.9137	639.29	696.2067	1129.9696	942.8296	1197.5978	1518.027	712.917	985.1674	755.78	905.3074	1069.4548	1220.7263	1558.5178	857.2041	1077.4785	1542.7989	667.2607	1480.1426	1088.8704	1328.6837
ko00030	1693.2155	2116.5691	1937.5109	2085.5909	727.1118	2605.9918	706.8777	2207.2105	2189.2836	1980.8932	1818.6595	1725.2118	2333.6673	2127.8095	2609.9795	2105.3905	1228.5368	2246.49	2335.135	2171.1673	2727.0382	2471.6295	2451.6555	2315.2377	2020.6123	2411.2555	1039.8868	2469.6664	1643.4064	1474.2218	1761.3127	1700.4545	2411.0041	2441.3127	2036.8014	1901.5782	1821.0841	1652.71	1980.0073	2029.5077	2214.7068	1510.2314	1925.5427	2121.6814	2180.2895	1529.63	2099.7023	867.1073	1471.8559	1978.5532	2340.7091	1786.4482	1963.4473	1653.1836	1884.0195	982.8655	2433.0841	1468.1586	1018.72	1105.7505	2024.5286	2178.8595	2102.6923	1111.1686	1982.7795	1143.4373	3139.175	1217.625	2078.4291	1133.1441	1329.4318	2064.8459	1225.9814	1763.8241	1955.6627	1396.4291	1883.4436	1216.8909	1587.2727	1775.6759	1528.6527	2127.74	1544.7645	2259.6632	2157.955	1324.6727	2142.46	1871.0714	2222.4136
ko00040	613.2577	734.9465	1102.6958	877.8454	244.6919	1064.6115	231.5408	941.2854	921.8046	698.9631	671.515	555.9004	797.385	806.0469	957.7673	679.3477	493.3973	786.8646	884.8431	895.2635	722.5046	987.3158	845.0115	726.54	687.7835	843.0696	281.6923	1232.8246	694.4865	612.9623	764.0308	606.89	838.7792	929.0608	804.3069	749.975	654.4458	612.8058	753.7135	790.8292	795.3742	534.4735	711.2431	783.1373	796.8196	487.2573	864.4412	396.3962	573.5	973.8896	1131.3962	947.1712	925.7938	614.4515	1008.9123	345.38	825.5908	765.9112	467.4862	452.1908	1313.4865	1466.3869	1036.8146	572.9681	1214.7019	844.0492	1415.9919	594.3773	953.9038	573.4269	652.32	921.8992	754.5723	952.7158	1526.1104	522.1919	853.0762	673.9604	832.7519	876.8219	1162.2292	1310.6058	836.8038	1069.4327	1259.7215	657.4342	1259.5008	984.4008	1462.9023
ko00051	1049.6336	1406.8991	1351.2433	1168.8433	613.4015	1331.5052	638.4936	1376.2045	1527.2209	1247.6888	1192.1052	1047.0558	1504.7594	1231.3945	1441.3409	1514.5036	937.0545	1614.3724	1295.827	1365.5852	1259.3997	1528.2852	1516.7439	1278.6645	1517.2936	1830.25	646.7539	1604.8918	1203.0664	1002.6127	1008.2376	1076.3458	1527.7197	1439.0321	1349.2409	1362.6064	1168.6436	1026.0673	1368.7836	1154.3521	1605.1691	1021.43	1069.5145	1370.4318	1371.7812	1100.3418	1320.0882	745.6291	939.7412	1179.3973	1567.4482	1173.8867	1269.3364	1108.6082	1204.9003	801.6591	1690.1436	1004.8652	694.1176	612.7712	1456.4382	1454.36	1191.1133	824.4103	1339.4788	912.1212	1772.6794	662.8967	1299.4385	647.0042	725.567	1144.1582	808.4821	1159.5124	1457.6233	905.1561	1023.137	797.9655	924.5909	1066.38	1092.9255	1362.6152	891.0282	1212.9803	1592.8618	716.6694	985.8606	1083.7391	1367.8306
ko00052	1144.6038	1291.6121	1645.1655	1290.5593	876.6948	1687.2793	883.69	1520.6997	1753.1503	1333.0345	1229.2355	1147.7779	1517.441	1437.121	1700.7234	1456.5352	1038.49	1726.0845	1542.5566	1387.9634	1619.3634	1904.5524	1565.9893	1419.3172	1442.9962	1788.9062	628.7052	1778.8759	1100.1272	1114.3362	1189.8776	1181.6307	1651.929	1493.9807	1330.3217	1279.1617	1209.1148	1147.879	1671.4634	1254.7621	1565.0672	1046.2797	1212.6948	1290.9621	1431.0614	999.6062	1509.869	916.8893	1054.4007	1337.0414	1558.9938	1456.0434	1519.7948	876.4824	1545.9259	1004.4362	1759.5783	1234.7803	574.7386	691.0021	1600.0166	1867.1038	1652.8879	1108.8603	1697.8448	954.4166	2354.9376	612.8466	1449.5814	741.9659	797.1276	1320.7252	808.7221	1360.3569	1854.2976	1142.3176	1341.2779	872.6948	1011.331	1083.1593	1294.3941	1774.0352	996.6028	1601.2134	1821.0128	779.971	1063.431	1410.7203	1688.7672
ko00053	281.0533	202.0822	335.665	199.4767	84.0344	386.5606	77.3	318.3672	334.0956	250.9856	222.0778	233.2056	266.6361	339.2483	368.5161	195.5839	187.7594	317.4717	231.3306	340.6778	183.6572	269.3467	216.7339	294.0172	181.0611	259.085	109.0572	326.7422	317.2617	293.2183	229.9994	210.3906	249.6572	252.3667	318.8622	261.7511	282.6178	168.9056	211.7528	219.1467	222.1794	214.9767	242.4828	233.0883	270.4722	177.8072	268.1744	118.9689	172.5944	278.9778	367.5583	262.2856	205.5872	231.3172	260.5522	112.06	266.1583	249.9833	150.8111	204.6067	314.5667	380.8678	309.6544	145.5333	289.5944	202.5439	477.7361	218.5606	228.3733	148.9794	133.7322	229.55	205.2789	269.5178	330.2156	284.6833	203.2844	178.3944	190.5756	246.3239	267.1578	308.6822	211.2239	262.7733	460.6339	126.5722	651.4694	340.845	315.2206
ko00061	1466.5992	2010.6477	1860.6638	2386.2246	738.5546	2173.0946	769.9854	2104.3985	2236.2108	1903.49	1704.8185	1683.2815	2278.7554	1750.8523	2338.6308	1842.1585	1134.9154	2311.4338	2044.8646	1919.9423	2914.7385	2160.3038	2454.2992	2340.4308	1463.75	1998.1015	1132.2808	2199.1669	1470.1392	1425.0923	1612.7323	1663.1369	2193.3223	2222.7708	1832.0962	1629.6615	1930.5515	1453.1877	1985.2331	2254.6154	1560.7131	1548.0838	1844.9515	1925.7977	1905.7085	1476.0308	2192.2923	803.7554	1499.24	1818.2615	2007.4792	1761.0	2178.3892	1694.1777	1920.1754	1160.6115	1855.28	1518.9085	1146.4146	1123.2892	1983.9654	2086.6585	2177.8331	1133.41	1986.5077	1223.8792	2475.8354	1729.7115	2260.9677	1065.2169	1309.4438	2172.3815	1307.7515	1777.0669	1792.2708	1183.6169	1908.5715	1174.8354	1671.5869	1854.5038	1517.6038	1981.7623	1651.8108	2032.0954	2353.6131	1268.37	3188.2638	1813.0946	1980.0962
ko00071	368.0587	354.1071	476.5904	370.3275	135.7225	417.5175	127.7883	374.9679	343.2504	321.97	272.8362	262.9012	377.7138	360.93	410.9842	299.3821	195.2933	319.5908	369.4917	288.8788	463.2954	398.3104	420.8821	343.0075	299.6971	353.7238	214.7612	361.06	321.0975	299.4617	271.8021	315.4162	510.8379	382.6554	397.7867	371.5821	367.7758	326.1046	277.29	354.4358	372.4125	248.4946	287.0258	363.7996	345.4875	348.5438	333.8554	160.7717	284.0058	322.9542	396.8504	326.54	363.2292	306.2146	390.2362	192.5067	391.675	290.5467	160.8367	232.665	451.5033	454.1792	411.1171	220.2996	427.5333	242.3413	420.6908	214.82	406.4433	249.4875	270.5658	359.5675	296.9888	359.5821	435.9775	309.0858	330.4571	267.1771	291.7354	461.6821	350.6012	500.5712	303.2946	378.3212	525.5971	267.8038	1803.8921	382.6942	440.5596
ko00072	326.9075	705.2075	397.52	524.0	89.6375	377.16	90.1425	451.2325	206.7975	354.9175	0.0	356.43	528.4725	226.49	323.755	481.0575	132.75	150.58	553.435	0.0	978.2775	338.0475	215.5675	471.695	491.0425	0.0	300.14	240.9425	462.3325	363.3925	206.03	281.1175	451.31	498.8075	521.0	362.87	554.725	0.0	101.46	605.5175	650.61	298.4625	437.4625	600.5775	450.2375	552.765	214.855	107.295	343.805	297.8525	297.3925	189.185	158.3125	166.4125	157.51	102.0475	560.8975	208.205	130.81	336.78	235.91	165.65	160.42	126.965	314.25	68.3525	333.41	157.01	476.6575	221.2075	290.02	410.88	120.1	187.8325	90.625	168.975	279.865	151.715	290.7025	407.625	75.6075	281.1875	270.5375	347.365	622.235	273.775	4110.3975	132.1325	248.1525
