"n","p","r","type","lev"
25,0.0008999100089991,0.043004314236635,"p12","species"
25,0.0010998900109989,0.0474786213708634,"p12","genus"
25,0.0011998800119988,0.0471002271852562,"p12","family"
25,9.99900009999e-05,0.0639567890757179,"p12","order"
25,0.0104989501049895,0.0480457037846049,"p12","class"
25,0.0072992700729927,0.0561328581106759,"p12","phylum"
23,0.0027997200279972,0.0526405776356999,"p13","species"
23,0.0013998600139986,0.0580486816352654,"p13","genus"
23,0.0002999700029997,0.071175760414663,"p13","family"
23,0.0001999800019998,0.0720719483662723,"p13","order"
23,0.0003999600039996,0.104466415152844,"p13","class"
23,0.0004999500049995,0.0979859073509619,"p13","phylum"
17,0.0100989901009899,0.0516698945504854,"p23","species"
17,0.003999600039996,0.0552460682320424,"p23","genus"
17,0.0047995200479952,0.0667022977149755,"p23","family"
17,0.0045995400459954,0.0722772127027277,"p23","order"
17,0.0940905909409059,0.0429983091124496,"p23","class"
17,0.133086691330867,0.0469449790131903,"p23","phylum"
